Opponent,Rank,Points,Win,Lose,WinRate,LoseRate,Result
USA,2,390.91,49,47,0.51,0.49,1
Italy,3,342.43,61,37,0.62,0.38,1
Japan,4,340.3,82,31,0.73,0.27,1
Brazil,5,338.17,47,55,0.46,0.54,-1
Argentina,6,314.35,38,9,0.81,0.19,1
Slovenia,7,307.12,10,9,0.53,0.47,1
France,8,306.8,78,40,0.66,0.34,1
Serbia,9,253.22,17,12,0.59,0.41,1
Germany,10,249.1,33,15,0.69,0.31,1
Cuba,11,236.96,31,24,0.56,0.44,1
Canada,12,222.17,51,15,0.77,0.23,1
Netherlands,13,214.58,36,17,0.68,0.32,1
Turkey,14,210.73,12,0,1,0,1
Iran,15,207.82,24,12,0.67,0.33,1
Ukraine,16,197.6,17,3,0.85,0.15,1
Belgium,17,182.2,27,4,0.87,0.13,1
Egypt,18,164.05,21,1,0.95,0.05,1
Czech Republic,19,160.71,14,8,0.64,0.36,1
Bulgaria,20,160.07,62,56,0.53,0.47,1
Qatar,21,149.27,0,1,0.00,1.00,1
Portugal,22,147.35,11,2,0.85,0.15,1
Finland,23,146.5,47,15,0.76,0.24,1
Romania,24,145.91,62,47,0.57,0.43,1
Tunisia,25,145.09,11,0,1.00,0.00,1
Croatia,26,137.84,2,0,1,0,1
Chile,27,137.68,0,0,0,0,1
South Korea,28,137.46,5,3,0.63,0.38,1
Cameroon,29,129.27,3,0,1,0,1
Dominican Republic,30,128.88,0,0,0,0,1
China,31,125.66,42,13,0.76,0.24,1
Puerto Rico,32,125.57,8,0,1,0,1
Spain,33,124.11,26,8,0.76,0.24,1
Mexico,34,118.72,7,0,1,0,1
Australia,35,118.27,22,1,0.96,0.04,1
Greece,36,113.37,25,14,0.64,0.36,1
Slovakia,37,107.82,11,4,0.73,0.27,1
Latvia,38,105.46,13,1,0.93,0.07,1
North Macedonia,39,105.23,3,2,0.60,0.40,1
Switzerland,40,103.36,3,0,1,0,1
Estonia,41,100.62,11,3,0.79,0.21,1
Montenegro,42,98.65,3,3,0.50,0.50,1
Chinese Taipei,43,92.34,1,0,1,0,1
Libya,44,91.63,1,0,1,0,1
Luxembourg,45,83.5,0,0,0,0,1
Azerbaijan,46,83.33,4,0,1,0,1
Colombia,47,82.68,0,0,0.00,0.00,1
Denmark,48,82.44,7,0,1,0,1
Hungary,49,82.2,39,19,0.67,0.33,1
Austria,50,81.05,4,0,1,0,1
Pakistan,51,74.27,0,0,0,0,1
Algeria,52,73.43,3,0,1,0,1
Morocco,53,70.48,0,0,0,0,1
Bosnia and Herzegovina,54,68.35,0,0,0,0,1
Norway,55,68.29,4,0,1,0,1
Albania,56,66.15,5,0,0,0,1
Indonesia,57,61.27,1,0,0,0,1
Venezuela,58,60.5,5,0,0,0,1
Kazakhstan,59,57.91,1,0,0,0,1
Vietnam,60,57.9,1,0,0,0,1
Cyprus,61,52.8,0,0,0,0,1
Israel,62,51.43,10,1,0.91,0.09,1
Philippines,63,50.71,0,0,0,0,1
Kenya,64,50.39,0,0,0,0,1
Saudi Arabia,65,49.3,1,0,1,0,1
Sweden,66,48.36,5,0,1,0,1
Sri Lanka,67,48.01,0,0,0,0,1
Afghanistan,68,47.06,0,0,0,0,1
"Macao, China",69,45.08,0,0,0,0,1
Chad,70,44.61,0,0,0,0,1
Thailand,71,44.49,0,0,0,0,1
Bangladesh,72,43.02,0,0,0,0,1
India,73,40.23,3,0,1,0,1
Bahrain,74,39.98,0,0,0,0,1
Rwanda,75,38.86,0,0,0,0,1
Faroe Islands,76,37,0,0,0,0,1
Georgia,77,36.86,0,0,0,0,1
Peru,78,36.03,2,0,1,0,1
Senegal,79,34.19,0,0,0,0,1
Guatemala,80,33.66,0,0,0,0,1
Iceland,81,32.01,0,0,0,0,1
Iraq,82,31.53,1,0,1,0,1
Uganda,83,29.72,0,0,0,0,1
Congo,84,29.06,0,0,0,0,1
Ghana,85,27.86,0,0,0,0,1
Uzbekistan,86,27.71,0,0,0,0,1
Trinidad and Tobago,87,22.51,0,0,0,0,1
Suriname,88,19.58,0,0,0,0,1
Gambia,89,19.3,0,0,0,0,1
"Hong Kong, China",90,18.57,0,0,0,0,1
Mongolia,91,15.01,3,0,1,0,1
Burundi,92,4.49,0,0,0,0,1
Tanzania,93,4.44,0,0,0,0,1
Mali,94,3.63,0,0,0,0,1
